User Input,Chatbot Response,Timestamp
hello,Hi there,10-09-2024 01:21
how are you ,My purpose is to assist you,10-09-2024 01:21
weather ,"I'm sorry, I cannot provide real-time weather information.",10-09-2024 01:22
How do I create a budget,"To make a budget, start by tracking your income and expenses. Then, allocate your income towards essential expenses like rent, food, and bills. Next, allocate some of your income towards savings and debt repayment. Finally, allocate the remainder of your income towards discretionary expenses like entertainment and hobbies.",10-09-2024 01:22
Today is a nice weather,"I'm sorry, I cannot provide real-time weather information.",03-10-2024 08:29
How's the weather today,"I'm sorry, I cannot provide real-time weather information.",03-10-2024 08:30
Hi,Hello,03-10-2024 08:30
are you occupied tomorrow,I can answer questions and provide assistance,04-03-2025 15:42
hi,Hey,04-03-2025 15:42
how are you,Hello,04-03-2025 15:42
how can you help me,How can I assist you?,04-03-2025 15:42
you are not answering me,I am a chatbot,04-03-2025 15:43
what info do you have?,My name is Chatbot.,04-03-2025 15:43
how are you,Hello,04-03-2025 15:44
How are you,Hi there,04-03-2025 15:45
goodbye,See you later,04-03-2025 15:45
helpp,"Gardening tips include choosing the right plants for your climate, watering properly, and using organic fertilizers.",04-03-2025 15:45
help,How can I assist you?,04-03-2025 15:45
age,"Gardening tips include choosing the right plants for your climate, watering properly, and using organic fertilizers.",04-03-2025 15:46
what is your age?,I am a chatbot,04-03-2025 15:46
favorite book/,"Reading books can broaden your knowledge, enhance creativity, and provide a great way to relax.",04-03-2025 15:46
